Stock,Date,40 Percent Rule,Net Income Growth,ROE,ROA,Positive Cash Flow,Cash Flow Margin,PER,Capital ratio,profit loss
20MICRONS.NS,2023-03-31,0.35674746439474314,"[418191000.0, 345854000.0, 229719000.0, 241171000.0]",0.15511823290491292,0.090838692468133,631965000.0,0.0722669588386392,7.219409540232727,0.585609381740552,35.71010442148145
21STCENMGM.NS,2023-03-31,-4.151667547394224,"[-180636000.0, 146578000.0, 49915000.0, -320820000.0]",-0.8726587598734269,-0.4783184340973605,-45048000.0,0.49442723782934916,-1.0872093466825263,0.5481162352243358,6.951867294235339
3MINDIA.NS,2023-03-31,0.8459295813217994,"[4510192000.0, 2719711000.0, 1623765000.0, 3221692000.0]",0.2688686328612038,0.16615646033577575,4654766000.0,0.10235295903434279,58.68471566145066,0.6179838033451435,25.424765791001256
3PLAND.NS,2023-03-31,0.39069333834965114,"[15352000.0, 11547000.0, -1360000.0, 36933000.0]",0.02323800182246966,0.02274501786029119,144000.0,0.0078014952865965975,27.411763808306528,0.9787854409365875,-13.519312110190725
5PAISA.NS,2023-03-31,2.7159888686742675,"[432958000.0, 137360000.0, 146900000.0, -78960000.0]",0.09345886385737615,0.0263736587724009,245937000.0,0.03264664478855352,21.744104562619192,0.28219537113835125,45.495145899432046
63MOONS.NS,2023-03-31,0.11985905890391624,"[-163088000.0, -531734000.0, -634444000.0, -460307000.0]",-0.005277062783644794,-0.004705566396402247,707124000.0,0.17626411136787148,-49.42090309272378,0.8917018025607378,55.301524404948644
A2ZINFRA.NS,2023-03-31,-0.3258079140690041,"[-1229203000.0, -1799100000.0, -812074000.0, -2769595000.0]",-4.278003417661164,-0.12407033272812353,203357000.0,0.03944149752061575,-0.952722076700205,0.0290019246398719,6.766914327995553
AAKASH.NS,2023-03-31,-0.05479009758176043,"[45359000.0, 61214600.0, 41360414.0, 48629960.0]",0.08672600212231006,0.0544299726644155,184980000.0,-0.06064255770067911,14.7324386084376,0.6276084603514026,-12.121207961475603
AARON.NS,2023-03-31,0.9511482362714155,"[54044000.0, 37092000.0, 19270000.0, 14243017.08]",0.26389960447287464,0.13942592965238973,40713000.0,-0.014302673067178516,40.08379888268156,0.5283294377454092,14.076656470038474
AARTIDRUGS.NS,2023-03-31,-0.09750775078644595,"[1663100000.0, 2050386000.0, 2804130000.0, 1414006000.0]",0.1394442169889859,0.06868340629387958,1342000000.0,-0.011218497450341489,25.735090502495236,0.4925511274469315,24.296837911520157
AARTIIND.NS,2023-03-31,-0.38869625410658004,"[5450000000.0, 13071900000.0, 5234700000.0, 5360800000.0]",0.11074984759195286,0.06351241114089266,13100000000.0,-0.002196896883152547,33.41090425531915,0.5734762848152896,-9.124379324082712
AARVEEDEN.NS,2023-03-31,-0.3268916312593171,"[-650490000.0, -625150000.0, -641911000.0, -419269000.0]",-1.0593971847776698,-0.12494024192106305,382361000.0,0.14746387557160615,-0.7660714558192662,0.11793522176225495,11.188809012430934
AARVI.NS,2023-03-31,0.7470849266842363,"[145115000.0, 120674000.0, 104602000.0, 71780000.0]",0.13429163165512364,0.09158623457916026,32129000.0,0.004635077307626249,12.953156512040955,0.6819950986548755,4.166669165813258
AAVAS.NS,2023-03-31,0.5126556979006807,"[4296438000.0, 3551806000.0, 2889192000.0, 2490416000.0]",0.13140320400286268,0.03203999436493641,-19145007000.0,-1.3496998183405564,26.87201266693867,0.24382962811346975,10.398271819242717
ABAN.NS,2023-03-31,-0.8359385942200327,"[-10907470000.0, -21770780000.0, -19725300000.0, -89726130000.0]",0.048919502787219606,-0.6268235832282638,1304710000.0,0.3275577412175123,-0.20599250936329588,-12.813367829078258,4.675322693663758
ABB.NS,2022-12-31,1.1934886987863162,"[10162300000.0, 5197100000.0, 2192200000.0, 3034000000.0]",0.20573914698314172,0.10905826535726205,7419400000.0,0.06753969271899096,64.21288370191306,0.5300802834873146,28.019423436010367
ACCELYA.NS,2023-06-30,0.9373717023861842,"[1267236000.0, 761877000.0, 422010000.0, 868094576.0]",0.4692844430257025,0.34298074604312634,1334671000.0,0.2426500870222538,16.580094516066694,0.7308589729328432,-0.8276222222858164
ACCURACY.NS,2023-03-31,-0.4813116674930465,"[82190000.0, 181000000.0, 87770000.0, 40710000.0]",0.07107402282947077,0.02871828200451442,461240000.0,0.02175895319944377,23.727273074063387,0.40406158060616226,-25.287357413816526
ACEINTEG.NS,2023-03-31,-0.7338247130497513,"[4700000.0, 9882414.0, 1387543.0, 9963892.0]",0.025474254742547425,0.022871046228710463,7700000.0,0.11143270622286541,,0.8978102189781022,-15.172410285335847
