Stock,Date,Sector,40 Percent Rule,Net Income Growth,ROE,ROA,Positive Cash Flow,Cash Flow Margin,PER,Capital ratio,PBR,ROE_increase,Asset,Oper_over_Invest,Net Income Sign,Total Revenue,profit loss
1401.T,2023-05-31,Industrials,-0.016547769615447842,"[322674000.0, 325964000.0, 287098000.0, 227411000.0]",0.10005839018598343,0.07809261509121623,54044000.0,0.007944822791142217,11.942749882684186,0.7804704327749193,1.2203914778236677,-0.009210806442521952,-59977000.0,78327000.0,"[322674000.0, 325964000.0, 287098000.0, 227411000.0]","[4004117000.0, 4030130000.0, 3439593000.0, 3345617000.0]",2.357563850687623
1407.T,2023-08-31,Utilities,0.06430571716814298,"[6016000000.0, 4257000000.0, 6495000000.0, 4417000000.0]",0.1915923566878981,0.0485937222338896,7345000000.0,0.07831435496410116,,0.253630797563852,5.240390751592357,0.037078908900159,18554000000.0,12729000000.0,"[6016000000.0, 4257000000.0, 6495000000.0, 4417000000.0]","[43734000000.0, 67169000000.0, 67938000000.0, 61947000000.0]",-13.706293706293707
1414.T,2023-06-30,Industrials,0.0757675558750113,"[12887000000.0, 12366000000.0, 11340000000.0, 9005000000.0]",0.1313980994330927,0.10538927052666013,3751000000.0,0.027906200848386634,24.22699462078594,0.8020608439646713,3.413644133121253,0.0001882868150505368,-4436000000.0,2058000000.0,"[12887000000.0, 12366000000.0, 11340000000.0, 9005000000.0]","[83924000000.0, 81193000000.0, 80065000000.0, 67590000000.0]",0.3389830508474576
1417.T,2023-03-31,Industrials,-0.3836731753458664,"[14781000000.0, 25163000000.0, 24205000000.0, 15220000000.0]",0.05812357699279993,0.033843004725794046,5315000000.0,-0.005208817592208055,11.289682539682541,0.5822594973806645,0.6935676598506506,-0.04283695840337077,-18502000000.0,17629000000.0,"[14781000000.0, 25163000000.0, 24205000000.0, 15220000000.0]","[483987000000.0, 470385000000.0, 463744000000.0, 441166000000.0]",8.611599297012303
1418.T,2023-02-28,Industrials,1.4746819156004494,"[179367000.0, 71662000.0, 101658000.0, 108307000.0]",0.05467417614724873,0.024576757373047764,161415000.0,0.010368920931404593,18.27007943512798,0.44951308103587206,1.2626082377502283,0.03637993971756316,-447099000.0,41465000.0,"[179367000.0, 71662000.0, 101658000.0, 108307000.0]","[11460884000.0, 11794387000.0, 14823365000.0, 19053081000.0]",5.797101449275362
1419.T,2023-05-31,Consumer Cyclical,0.1157245461206722,"[8715000000.0, 8283000000.0, 7168000000.0, 5109000000.0]",0.24961333562467777,0.07815582738458227,6385000000.0,0.014082361900298752,12.09744981736537,0.3131075797252215,3.045638941398866,-0.018314854574254774,852000000.0,9011000000.0,"[8715000000.0, 8283000000.0, 7168000000.0, 5109000000.0]","[256065000000.0, 240760000000.0, 218092000000.0, 209207000000.0]",-8.171745152354571
1420.T,2023-03-31,Consumer Cyclical,-1.951448309036741,"[-245661000.0, 326306000.0, 509313000.0, 359138000.0]",-0.016921564809239856,-0.004921702258540459,2555874000.0,0.059768846582154894,-32.41534988713318,0.2908538491577925,0.6241487504605607,-0.038605830429232976,4214172000.0,2673677000.0,"[-245661000.0, 326306000.0, 509313000.0, 359138000.0]","[40970625000.0, 51123408000.0, 53487929000.0, 56351143000.0]",-0.2785515320334262
1429.T,2022-12-31,Basic Materials,0.6981016856233964,"[1549154000.0, 953802000.0, 1342695000.0, 1275023000.0]",0.1944570317785765,0.07051236271995542,-297738000.0,-0.022855134970679043,19.83746613877891,0.36261153466667195,4.153801853296315,0.07450349889788299,749877000.0,-4484000.0,"[1549154000.0, 953802000.0, 1342695000.0, 1275023000.0]","[25670205000.0, 23903421000.0, 21872218000.0, 21366509000.0]",-7.03781512605042
1430.T,2023-05-31,Consumer Cyclical,-0.07828624533049262,"[1364690000.0, 1269124000.0, 1125310000.0, 872337000.0]",0.1722458386554452,0.0635716261174669,-302149000.0,-0.015326899712576832,6.803135888501743,0.3690749606127405,1.167175426357959,-0.01089010044719843,140089000.0,-173320000.0,"[1364690000.0, 1269124000.0, 1125310000.0, 872337000.0]","[25543522000.0, 30178556000.0, 20919021000.0, 23418848000.0]",-1.2804097311139564
1431.T,2023-06-30,Real Estate,-0.578988116092174,"[173540000.0, 444581000.0, 336938000.0, 137171000.0]",0.052346797989139715,0.019597462651441612,-1559862000.0,-0.13316615829303782,100.89285714285714,0.37437748638431445,5.557436883106227,-0.07839297786166824,-990584000.0,-1225694000.0,"[173540000.0, 444581000.0, 336938000.0, 137171000.0]","[14183138000.0, 13761128000.0, 9404305000.0, 6036232000.0]",0.6321112515802781
1433.T,2023-01-31,Industrials,-1.1290025287046623,"[-64357000.0, 1467993000.0, 142571000.0, 59966000.0]",-0.01469633839508321,-0.007636402944162786,-354780000.0,-0.06802537147848363,-117.18963165075034,0.5196126231495602,1.7635016457651975,-0.35180308072282557,-784630000.0,160374000.0,"[-64357000.0, 1467993000.0, 142571000.0, 59966000.0]","[5458728000.0, 5966882000.0, 3682863000.0, 3436153000.0]",42.14202561117579
1434.T,2023-08-31,Industrials,1.3753910200227857,"[1182156000.0, 512710000.0, 463218000.0, 314866000.0]",0.1810893800192248,0.07048745721373735,-2403007000.0,-0.216399524048509,,0.38924125316600156,0.5987247291485557,0.07351218644301277,726667000.0,-5093679000.0,"[1182156000.0, 512710000.0, 463218000.0, 314866000.0]","[11104493000.0, 10381039000.0, 9268700000.0, 8993284000.0]",55.08771929824562
